PV;Onderwerp;"Datum PV";"Referentie kabinet";Parlementarier;Omschrijving;"Antwoord tegen";"Antwoord ontvangen";"Te behandelen door";"Doorsturen naar";"Naar Staf tegen";"Herinnering op";"Uitgeschreven op";"Datum Kabinet";Bijlagen
327;"START-project - Zaventem - stand van zaken";02-01-2014;;"Reekmans Peter";;14-01-2014;;WVB;;;14-01-2014;14-01-2014;14-01-2014;
325;"N8 Ieper - Veurne - schorsing GRUP";02-01-2014;;"Van Volcem Mercedes";;14-01-2014;;WWV;;;14-01-2014;14-01-2014;14-01-2014;
323;"Kruispunt N2 Winksele - Werking verkeerslichten";24-12-2013;;"Reekmans Peter";;14-01-2014;;WVB;;;14-01-2014;14-01-2014;14-01-2014;
318;"N42 Oosterzele - Verlichting";20-12-2013;;"Lachaert Egbert";;15-01-2014;;WOV;;;15-01-2014;15-01-2014;15-01-2014;
317;"Kruispunten A12 - Ongevallen";20-12-2013;;"De Kort Dirk";;15-01-2014;;WA;;;15-01-2014;15-01-2014;15-01-2014;
316;"Investeringsprogramma wegen - N457 Maarkedal";20-12-2013;;"Franssen Cindy";;15-01-2014;;WOV;;;15-01-2014;15-01-2014;15-01-2014;
313;"N12 - Turnhoutsebaan Deurne - Verkeersveiligheid";20-12-2013;;"Vogels Mieke";;15-01-2014;;WOV;;;15-01-2014;15-01-2014;15-01-2014;
310;"Gewestwegen stad Antwerpen - Fietsveiligheid";19-12-2013;;"Vogels Mieke";;16-01-2014;;WA;;;16-01-2014;16-01-2014;16-01-2014;
309;"Gewestwegen - Graffitischade";19-12-2013;;"Wienen Wim";;16-01-2014;;PCO;;;16-01-2014;16-01-2014;16-01-2014;
308;"Schade aan gewestwegen - Aansprakelijkheid en kostprijs";19-12-2013;;"Wienen Wim";;16-01-2014;;PCO;;;16-01-2014;16-01-2014;16-01-2014;
306;"Krijgsbaan Hoboken - Herstelling - Overdracht";18-12-2013;;"Wienen Wim";;10-01-2014;;WA;;;10-01-2014;10-01-2014;10-01-2014;
305;"Ghelamco Arena Gent - Verkeesafwikkeling";18-12-2013;;"Roegiers Jan";;10-01-2014;;WOV;;;10-01-2014;10-01-2014;10-01-2014;
303;"Luchtkwaliteitsplan Uitvoering";18-12-2013;;"Sanctorum Hermes";;10-01-2014;;PCO;;;10-01-2014;10-01-2014;10-01-2014;
302;"Vlaamse overheid - Digitale verwerking bouw- en ontwerpplannen";13-12-2013;;"Van Mechelen Dirk";;03-01-2014;;PCO;;;03-01-2014;03-01-2014;03-01-2014;
301;"Tweede Scheldebrug Wetteren : Stand van zaken";13-12-2013;;"Van Malderen Bart";;03-01-2014;;WOV;;;03-01-2014;03-01-2014;03-01-2014;
299;"Rooilijndecreet - Gewestelijke rooilijnen";13-12-2013;;"Peumans Jan";;03-01-2014;;PCO;;;03-01-2014;03-01-2014;03-01-2014;
296;"E40 Nevele - Bermbrug";12-12-2013;;"Franssen Cindy";;24-12-2013;;WOV;;;24-12-2013;24-12-2013;24-12-2013;
294;"Omleidingsweg N14 Zoersel - Stand van zaken";11-12-2013;;"Diependaele Matthias";;23-12-2013;;WA;;;23-12-2013;23-12-2013;23-12-2013;
292;"Gewest- en autosnelwegen - structureel onderhoud";11-12-2013;;"Yuksel Veli";;23-12-2013;;PCO;;;23-12-2013;23-12-2013;23-12-2013;
291;"Verkeerslichten gewestwegen - LED";11-12-2013;;"Yuksel Veli";;23-12-2013;;EVT;;;23-12-2013;23-12-2013;23-12-2013;
290;"Aanleg fietspaden - realisaties";11-12-2013;;"Yuksel Veli";;23-12-2013;;PCO;;;23-12-2013;23-12-2013;23-12-2013;
288;"Fietspaden N44a Maldegem - Onderhoud";11-12-2013;;"Taeldeman Valerie";;23-12-2013;;WOV;;;23-12-2013;23-12-2013;23-12-2013;
286;"E314 Heverlee - Wilsele - weefstroken";09-12-2013;;"Jans Lies";;20-12-2013;;WVB;;;20-12-2013;20-12-2013;20-12-2013;
286;"E314 Heverlee - Wilsele - weefstroken";20-12-2013;;"Jans Lies";;20-12-2013;;WVB;;;20-12-2013;20-12-2013;20-12-2013;
281;"Trajectcontrole - werklast parketten - Overleg";09-12-2013;;"Reekmans Peter";;20-12-2013;;EMT;;;20-12-2013;20-12-2013;20-12-2013;
275;"Omvorming N44 Maldegem - stand van zaken";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
274;"Investeringsprogramma wegen - aanleg rotonde N9/Hillestraat Maldegem";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
273;"Investeringsprogramma wegen - N70 Lochristi";06-12-2013;;"Taeldeman Valerie";;20-12-2013;;WOV;;;20-12-2013;20-12-2013;20-12-2013;
272;"Kruispunt R71 - N20 Hasselt - Herinrichting";05-12-2013;;"Jans Lies";;17-12-2013;;WL;;;17-12-2013;17-12-2013;17-12-2013;
269;"Voetgangers- en fietsersbrug Deinze - stand van zaken";04-12-2013;;"Franssen Cindy";;17-12-2013;;WOV;;;17-12-2013;17-12-2013;17-12-2013;
268;"Flora en fauna - schade door strooizout";04-12-2013;;"Vandaele Wilfried";;17-12-2013;;PCO;;;17-12-2013;17-12-2013;17-12-2013;
